,tr_main_law,tr_draft,tr_category
191,"On Trade Unions established by Resolution No. 341-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 16, 2022",On the results of the work of the provisional deputy commission for the study of the implementation of the Law of the Kyrgyz Republic,"On the implementation of Resolution No. 1293-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 21, 2023"
192,About non-profit organizations and the Criminal Code),On amendments to some legislative acts of the Kyrgyz Republic (the Law,About the draft Law
193,About the status of the Batken region,On amendments to the Law of the Kyrgyz Republic,About the draft Law
194,On the accession of the Kyrgyz Republic to the Framework Agreement on Simplification of Procedures for Cross-Border Paperless Trade in the Asia-Pacific Region (ESCAP),About the draft Law,Empty
195,"On ratification of the Protocol on Amendments to the Convention of the Commonwealth of Independent States on Human Rights and Fundamental Freedoms of May 26, 1995, signed on October 14, 2022 in Astana",About the draft Law,Empty
196,"On ratification of the Protocol on Amendments to the Convention of the Commonwealth of Independent States on Human Rights and Fundamental Freedoms of May 26, 1995, signed on October 14, 2022 in Astana",About the draft Law,Empty
197,"On the ratification of the Agreement on the Establishment of the Turkic Investment Fund, signed on March 16, 2023 in Ankara",About the draft Law,Empty
198,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
199,"On Public councils of state bodies"" and amendments to the Law of the Kyrgyz Republic On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic""",About the draft Law,On the invalidation of the Law of the Kyrgyz Republic
200,"On the renaming of individual aiyl aimags and villages of Batken, Jalal-Abad and Issyk-Kul regions of the Kyrgyz Republic",About the draft Law,Empty
201,On amendments to the Criminal Code of the Kyrgyz Republic,About the draft Law,Empty
202,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic dated January 13, 2022 No. 18-VII",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
203,"About narcotic drugs, psychotropic substances, their analogues and precursors",About the draft Law,Empty
204,About cooperatives,On amendments to the Law of the Kyrgyz Republic,About the draft Law
205,On amendments to the Criminal Code of the Kyrgyz Republic,About the draft Law,Empty
206,"On amendments to some legislative acts of the Kyrgyz Republic (the Code of Non-tax Revenues, the Code of Offenses)",About the draft Law,Empty
207,On investing funds to finance the funded part of the state social insurance pension in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
208,On State guarantees for ethnic Kyrgyz moving to the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
209,About the commodity exchange and exchange trading in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
210,On amendments to the Forest Code of the Kyrgyz Republic,About the draft Law,Empty
211,"On the rights and guarantees of rehabilitated citizens who suffered as a result of repression for political and religious beliefs, on social, national and other grounds"", On the National Archival Fund of the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
212,About the Council for Justice of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
213,On the status of bailiffs and on enforcement proceedings,On amendments to the Law of the Kyrgyz Republic,About the draft Law
214,About the local state administration and local self-government bodies,On amendments to the Law of the Kyrgyz Republic,About the draft Law
215,"On the classification of some settlements of Batken, Osh, Chui and Issyk-Kul regions and the city of Osh of the Kyrgyz Republic as ayila (villages)",About the draft Law,Empty
216,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
217,On amendments to the Civil Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
218,On State-guaranteed legal assistance),"On amendments to some legislative acts of the Kyrgyz Republic (the Code of Offenses, the Law",About the draft Law
219,About the courts of aksakals,About the draft Law,Empty
220,About the jamaats (communities) and their associations,On amendments to the Law of the Kyrgyz Republic,About the draft Law
221,"On ratification of the Protocol on Amendments to the Protocol on Conditions and Transitional Provisions for the Application by the Kyrgyz Republic of the Treaty on the Eurasian Economic Union dated May 29, 2014, certain international treaties included in the Law of the Eurasian Economic Union, and acts of the bodies of the Eurasian Economic Union in connection with the accession of the Kyrgyz Republic to the Treaty on the Eurasian Economic Union dated May 29 2014, signed on May 8, 2015, signed on May 25, 2023 in Moscow",About the draft Law,Empty
222,"On ratification of the Protocol on Amendments to the Protocol on Conditions and Transitional Provisions for the Application by the Kyrgyz Republic of the Treaty on the Eurasian Economic Union dated May 29, 2014, certain international treaties included in the Law of the Eurasian Economic Union, and acts of the bodies of the Eurasian Economic Union in connection with the accession of the Kyrgyz Republic to the Treaty on the Eurasian Economic Union dated May 29 2014, signed on May 8, 2015, signed on May 25, 2023 in Moscow",About the draft Law,Empty
223,"On ratification of the Protocol on Amendments to the Protocol on Conditions and Transitional Provisions for the Application by the Kyrgyz Republic of the Treaty on the Eurasian Economic Union dated May 29, 2014, certain international treaties included in the Law of the Eurasian Economic Union, and acts of the bodies of the Eurasian Economic Union in connection with the accession of the Kyrgyz Republic to the Treaty on the Eurasian Economic Union dated May 29 2014, signed on May 8, 2015, signed on May 25, 2023 in Moscow",About the draft Law,Empty
224,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014, signed on May 25, 2023 in Moscow",About the draft Law,Empty
225,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014, signed on May 25, 2023 in Moscow",About the draft Law,Empty
226,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014, signed on May 25, 2023 in Moscow",About the draft Law,Empty
227,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the People's Republic of China on the Mutual Establishment of Cultural Centers, signed in Xi'an on May 18, 2023",About the draft Law,Empty
228,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the People's Republic of China on the Mutual Establishment of Cultural Centers, signed in Xi'an on May 18, 2023",About the draft Law,Empty
229,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the People's Republic of China on the Mutual Establishment of Cultural Centers, signed in Xi'an on May 18, 2023",About the draft Law,Empty
230,On approval of the sessional activity plan of the Jogorku Kenesh of the Kyrgyz Republic of the VII convocation for 2023-2024,On the draft resolution of the Jogorku Kenesh,Empty
231,About the State civil service and municipal service),"On amendments to some legislative acts of the Kyrgyz Republic (the Criminal Code, the Family Code, the Law",About the draft Law
232,On the accession of the Kyrgyz Republic to the Framework Agreement on Simplification of Procedures for Cross-Border Paperless Trade in the Asia-Pacific Region (ESCAP),About the draft Law,Empty
233,"On State pension social insurance"", On state benefits in the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
234,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on April 24, 2023 in Bishkek",On the ratification of the Loan Agreement between the Kyrgyz Republic and the Saudi Development Fund for the project,About the draft Law
235,"Reconstruction of the Suusamyr–Talas–Taraz highway, phase IV, 104.6–197.6 km, signed on May 12, 2023 in the city of Jeddah",On the ratification of the Loan Agreement between the Kyrgyz Republic and the OPEC Fund for International Development on the project,About the draft Law
236,"Reconstruction of the Suusamyr–Talas–Taraz highway, Phase IV, 104.6–197.6 km"" and the Agreement on Technical grant assistance between the Kyrgyz Republic and the Islamic Development Bank on the Reconstruction of the Suusamyr– Talas–Taraz highway, Phase IV, 104.6–197.6 km"", signed on May 12, 2023 in the city of Jeddah""",About the draft Law,On the ratification of the Loan Agreement between the Kyrgyz Republic and the Islamic Development Bank on the project
